Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
AMD,"Advanced Micro Devices, Inc.",83.75,-0.04,-0.0005,86.467,108.621,135.718B,31.43,
NIO,NIO Inc.,22.55,-0.11,-0.0049,74.775,71.608,37.67B,N/A,
AAPL,Apple Inc.,135.35,-0.52,-0.0038,73.165,96.051,2.191T,22.05,
AMZN,"Amazon.com, Inc.",108.95,0.27,0.0025,58.016,87.079,1.109T,52.25,
LU,Lufax Holding Ltd,6.46,-0.36,-0.0528,48.012,8.579,14.766B,6.32,
T,AT&T Inc.,20.32,0.36,0.018000000000000002,45.622,52.356,145.471B,8.55,
VALE,Vale S.A.,14.48,-0.24,-0.0163,45.529,34.345,74.278B,3.24,
F,Ford Motor Company,11.48,0.02,0.0017000000000000001,45.411,63.517,45.333B,4.00,
ITUB,Itaú Unibanco Holding S.A.,4.57,-0.08,-0.0172,42.271,48.817,44.694B,8.31,
META,"Meta Platforms, Inc.",155.85,-1.2,-0.0076,46.804,31.677,421.78B,11.79,
PLTR,Palantir Technologies Inc.,9.01,0.3,0.0344,43.072,40.255,18.44B,N/A,
SWN,Southwestern Energy Company,6.86,-0.05,-0.0072,42.467,37.093,7.657B,N/A,
NVDA,NVIDIA Corporation,163.6,-2.06,-0.0124,43.664,57.951,407.691B,43.87,
MO,"Altria Group, Inc.",41.5,-4.2,-0.0919,41.715,10.891,75.138B,25.40,
CCL,Carnival Corporation & plc,9.62,0.05,0.0052,38.602,39.521,11.308B,N/A,
NOK,Nokia Oyj,4.68,-0.03,-0.0064,38.495,32.302,26.683B,16.14,
BAC,Bank of America Corporation,32.6,-0.25,-0.0076,37.494,50.015,262.654B,9.28,
OXY,Occidental Petroleum Corporation,55.77,-2.1,-0.0363,37.481,28.509,52.267B,8.34,
AAL,American Airlines Group Inc.,13.1,0.06,0.0046,34.102,36.432,8.509B,N/A,
RBLX,Roblox Corporation,31.12,1.48,0.0499,32.73,28.876,18.46B,N/A,
ENIA,Enel Américas S.A.,4.81,0.0,0.0,32.43,2.872,10.32B,10.69,
NLY,"Annaly Capital Management, Inc.",6.01,0.06,0.0101,32.091,33.157,9.382B,3.40,
UBER,"Uber Technologies, Inc.",21.5,-0.26,-0.011899999999999999,32.298,34.814,42.219B,N/A,
TSLA,"Tesla, Inc.",708.26,-2.85,-0.004,32.908,28.807,733.764B,95.71,
PBR,Petróleo Brasileiro S.A. - Petrobras,11.45,-0.1,-0.0087,32.601,31.185,74.678B,2.55,
